subdivision,year,month,rainfall_mm
Andaman & Nicobar Islands,1907,JUN,305.2
Andaman & Nicobar Islands,1907,JUL,443.9
Andaman & Nicobar Islands,1907,AUG,377.6
Andaman & Nicobar Islands,1907,SEP,200.4
Andaman & Nicobar Islands,1907,OCT,264.4
Andaman & Nicobar Islands,1907,NOV,648.9
Andaman & Nicobar Islands,1907,DEC,245.6
Andaman & Nicobar Islands,1908,JAN,20.9
Andaman & Nicobar Islands,1908,FEB,85.1
Andaman & Nicobar Islands,1908,MAR,0.0
Andaman & Nicobar Islands,1908,APR,29.0
Andaman & Nicobar Islands,1908,MAY,562.0
Andaman & Nicobar Islands,1908,JUN,693.6
Andaman & Nicobar Islands,1908,JUL,481.4
Andaman & Nicobar Islands,1908,AUG,699.9
Andaman & Nicobar Islands,1908,SEP,428.8
Andaman & Nicobar Islands,1908,OCT,170.7
Andaman & Nicobar Islands,1908,NOV,208.1
Andaman & Nicobar Islands,1908,DEC,196.9
Andaman & Nicobar Islands,1910,JAN,26.6
Andaman & Nicobar Islands,1910,FEB,22.7
Andaman & Nicobar Islands,1910,MAR,206.3
Andaman & Nicobar Islands,1910,APR,89.3
Andaman & Nicobar Islands,1910,MAY,224.5
Andaman & Nicobar Islands,1910,JUN,472.7
Andaman & Nicobar Islands,1910,JUL,264.3
Andaman & Nicobar Islands,1910,AUG,337.4
Andaman & Nicobar Islands,1910,SEP,626.6
Andaman & Nicobar Islands,1910,OCT,208.2
Andaman & Nicobar Islands,1910,NOV,267.3
Andaman & Nicobar Islands,1910,DEC,153.5
Andaman & Nicobar Islands,1911,JAN,0.0
Andaman & Nicobar Islands,1911,FEB,8.4
Andaman & Nicobar Islands,1911,MAR,0.0
Andaman & Nicobar Islands,1911,APR,122.5
Andaman & Nicobar Islands,1911,MAY,327.3
Andaman & Nicobar Islands,1911,JUN,649.0
Andaman & Nicobar Islands,1911,JUL,253.0
Andaman & Nicobar Islands,1911,AUG,187.1
Andaman & Nicobar Islands,1911,SEP,464.5
Andaman & Nicobar Islands,1911,OCT,333.8
Andaman & Nicobar Islands,1911,NOV,94.5
Andaman & Nicobar Islands,1911,DEC,247.1
Andaman & Nicobar Islands,1912,JAN,583.7
Andaman & Nicobar Islands,1912,FEB,0.8
Andaman & Nicobar Islands,1912,MAR,0.0
Andaman & Nicobar Islands,1912,APR,21.9
Andaman & Nicobar Islands,1912,MAY,140.7
Andaman & Nicobar Islands,1912,JUN,549.8
Andaman & Nicobar Islands,1912,JUL,468.9
Andaman & Nicobar Islands,1912,AUG,370.3
Andaman & Nicobar Islands,1912,SEP,386.2
Andaman & Nicobar Islands,1912,OCT,318.7
Andaman & Nicobar Islands,1912,NOV,117.2
Andaman & Nicobar Islands,1912,DEC,2.3
Andaman & Nicobar Islands,1913,JAN,84.8
Andaman & Nicobar Islands,1913,FEB,0.5
Andaman & Nicobar Islands,1913,MAR,1.3
Andaman & Nicobar Islands,1913,APR,2.5
Andaman & Nicobar Islands,1913,MAY,190.7
Andaman & Nicobar Islands,1913,JUN,530.0
Andaman & Nicobar Islands,1913,JUL,280.8
Andaman & Nicobar Islands,1913,AUG,205.8
Andaman & Nicobar Islands,1913,SEP,580.1
Andaman & Nicobar Islands,1913,OCT,288.8
Andaman & Nicobar Islands,1913,NOV,133.0
Andaman & Nicobar Islands,1913,DEC,67.5
Andaman & Nicobar Islands,1914,JAN,0.0
Andaman & Nicobar Islands,1914,FEB,0.0
Andaman & Nicobar Islands,1914,MAR,0.0
Andaman & Nicobar Islands,1914,APR,37.7
Andaman & Nicobar Islands,1914,MAY,298.8
Andaman & Nicobar Islands,1914,JUN,383.3
Andaman & Nicobar Islands,1914,JUL,792.8
Andaman & Nicobar Islands,1914,AUG,520.5
Andaman & Nicobar Islands,1914,SEP,310.8
Andaman & Nicobar Islands,1914,OCT,139.8
Andaman & Nicobar Islands,1914,NOV,184.4
Andaman & Nicobar Islands,1914,DEC,289.7
Andaman & Nicobar Islands,1915,JAN,45.0
Andaman & Nicobar Islands,1915,FEB,56.7
Andaman & Nicobar Islands,1915,MAR,33.3
Andaman & Nicobar Islands,1915,APR,40.9
Andaman & Nicobar Islands,1915,MAY,170.2
Andaman & Nicobar Islands,1915,JUN,334.7
Andaman & Nicobar Islands,1915,JUL,269.0
Andaman & Nicobar Islands,1915,AUG,317.2
Andaman & Nicobar Islands,1915,SEP,429.8
Andaman & Nicobar Islands,1915,OCT,468.1
Andaman & Nicobar Islands,1915,NOV,258.4
Andaman & Nicobar Islands,1915,DEC,318.0
Andaman & Nicobar Islands,1916,JAN,0.0
Andaman & Nicobar Islands,1916,FEB,0.0
Andaman & Nicobar Islands,1916,MAR,0.0
Andaman & Nicobar Islands,1916,APR,0.5
Andaman & Nicobar Islands,1916,MAY,487.4
Andaman & Nicobar Islands,1916,JUN,450.1
Andaman & Nicobar Islands,1916,JUL,317.3
Andaman & Nicobar Islands,1916,AUG,425.0
Andaman & Nicobar Islands,1916,SEP,561.2
Andaman & Nicobar Islands,1916,OCT,369.7
Andaman & Nicobar Islands,1916,NOV,192.6
Andaman & Nicobar Islands,1916,DEC,133.7
Andaman & Nicobar Islands,1917,JAN,8.0
Andaman & Nicobar Islands,1917,FEB,3.6
Andaman & Nicobar Islands,1917,MAR,112.0
Andaman & Nicobar Islands,1917,APR,4.5
Andaman & Nicobar Islands,1917,MAY,295.9
Andaman & Nicobar Islands,1917,JUN,301.1
Andaman & Nicobar Islands,1917,JUL,394.8
Andaman & Nicobar Islands,1917,AUG,437.4
Andaman & Nicobar Islands,1917,SEP,471.8
Andaman & Nicobar Islands,1917,OCT,238.1
Andaman & Nicobar Islands,1917,NOV,108.3
Andaman & Nicobar Islands,1917,DEC,236.9
Andaman & Nicobar Islands,1918,JAN,77.4
Andaman & Nicobar Islands,1918,FEB,6.9
Andaman & Nicobar Islands,1918,MAR,11.4
Andaman & Nicobar Islands,1918,APR,10.7
Andaman & Nicobar Islands,1918,MAY,729.3
Andaman & Nicobar Islands,1918,JUN,710.8
Andaman & Nicobar Islands,1918,JUL,200.9
Andaman & Nicobar Islands,1918,AUG,455.4
Andaman & Nicobar Islands,1918,SEP,303.3
Andaman & Nicobar Islands,1918,OCT,227.0
Andaman & Nicobar Islands,1918,NOV,366.9
Andaman & Nicobar Islands,1918,DEC,175.0
Andaman & Nicobar Islands,1919,JAN,10.2
Andaman & Nicobar Islands,1919,FEB,18.0
Andaman & Nicobar Islands,1919,MAR,0.0
Andaman & Nicobar Islands,1919,APR,35.5
Andaman & Nicobar Islands,1919,MAY,283.9
Andaman & Nicobar Islands,1919,JUN,542.5
Andaman & Nicobar Islands,1919,JUL,246.5
Andaman & Nicobar Islands,1919,AUG,259.8
Andaman & Nicobar Islands,1919,SEP,170.7
Andaman & Nicobar Islands,1919,OCT,186.2
Andaman & Nicobar Islands,1919,NOV,340.4
Andaman & Nicobar Islands,1919,DEC,258.4
Andaman & Nicobar Islands,1920,JAN,122.3
Andaman & Nicobar Islands,1920,FEB,7.4
Andaman & Nicobar Islands,1920,MAR,3.1
Andaman & Nicobar Islands,1920,APR,13.0
Andaman & Nicobar Islands,1920,MAY,237.4
Andaman & Nicobar Islands,1920,JUN,546.9
Andaman & Nicobar Islands,1920,JUL,294.4
Andaman & Nicobar Islands,1920,AUG,467.4
Andaman & Nicobar Islands,1920,SEP,505.4
Andaman & Nicobar Islands,1920,OCT,397.5
Andaman & Nicobar Islands,1920,NOV,262.9
Andaman & Nicobar Islands,1920,DEC,85.5
Andaman & Nicobar Islands,1921,JAN,13.2
Andaman & Nicobar Islands,1921,FEB,3.1
Andaman & Nicobar Islands,1921,MAR,0.0
Andaman & Nicobar Islands,1921,APR,37.5
Andaman & Nicobar Islands,1921,MAY,351.2
Andaman & Nicobar Islands,1921,JUN,282.7
Andaman & Nicobar Islands,1921,JUL,487.1
Andaman & Nicobar Islands,1921,AUG,330.0
Andaman & Nicobar Islands,1921,SEP,581.2
Andaman & Nicobar Islands,1921,OCT,360.7
Andaman & Nicobar Islands,1921,NOV,118.2
Andaman & Nicobar Islands,1921,DEC,41.5
Andaman & Nicobar Islands,1922,JAN,245.3
Andaman & Nicobar Islands,1922,FEB,34.3
Andaman & Nicobar Islands,1922,MAR,15.6
Andaman & Nicobar Islands,1922,APR,323.1
Andaman & Nicobar Islands,1922,MAY,289.7
Andaman & Nicobar Islands,1922,JUN,506.1
Andaman & Nicobar Islands,1922,JUL,425.8
Andaman & Nicobar Islands,1922,AUG,307.4
Andaman & Nicobar Islands,1922,SEP,511.7
Andaman & Nicobar Islands,1922,OCT,162.0
Andaman & Nicobar Islands,1922,NOV,541.0
Andaman & Nicobar Islands,1922,DEC,192.2
Andaman & Nicobar Islands,1923,JAN,79.5
Andaman & Nicobar Islands,1923,FEB,0.0
Andaman & Nicobar Islands,1923,MAR,
Andaman & Nicobar Islands,1923,APR,91.3
Andaman & Nicobar Islands,1923,MAY,293.5
Andaman & Nicobar Islands,1923,JUN,808.4
Andaman & Nicobar Islands,1923,JUL,636.9
Andaman & Nicobar Islands,1923,AUG,182.2
Andaman & Nicobar Islands,1923,SEP,560.5
Andaman & Nicobar Islands,1923,OCT,131.9
Andaman & Nicobar Islands,1923,NOV,197.4
Andaman & Nicobar Islands,1923,DEC,70.6
Andaman & Nicobar Islands,1924,JAN,28.7
Andaman & Nicobar Islands,1924,FEB,0.0
Andaman & Nicobar Islands,1924,MAR,14.8
Andaman & Nicobar Islands,1924,APR,89.7
Andaman & Nicobar Islands,1924,MAY,191.2
Andaman & Nicobar Islands,1924,JUN,261.2
Andaman & Nicobar Islands,1924,JUL,493.3
Andaman & Nicobar Islands,1924,AUG,290.9
Andaman & Nicobar Islands,1924,SEP,251.2
Andaman & Nicobar Islands,1924,OCT,331.1
Andaman & Nicobar Islands,1924,NOV,378.6
Andaman & Nicobar Islands,1924,DEC,
Andaman & Nicobar Islands,1925,JAN,36.6
Andaman & Nicobar Islands,1925,FEB,0.0
Andaman & Nicobar Islands,1925,MAR,8.6
Andaman & Nicobar Islands,1925,APR,50.4
Andaman & Nicobar Islands,1925,MAY,282.2
Andaman & Nicobar Islands,1925,JUN,663.8
Andaman & Nicobar Islands,1925,JUL,241.8
Andaman & Nicobar Islands,1925,AUG,278.2
Andaman & Nicobar Islands,1925,SEP,201.9
Andaman & Nicobar Islands,1925,OCT,249.5
Andaman & Nicobar Islands,1925,NOV,271.5
Andaman & Nicobar Islands,1925,DEC,196.0
Andaman & Nicobar Islands,1926,JAN,122.1
Andaman & Nicobar Islands,1926,FEB,0.0
Andaman & Nicobar Islands,1926,MAR,0.0
Andaman & Nicobar Islands,1926,APR,0.5
Andaman & Nicobar Islands,1926,MAY,198.4
Andaman & Nicobar Islands,1926,JUN,370.0
Andaman & Nicobar Islands,1926,JUL,195.3
Andaman & Nicobar Islands,1926,AUG,523.7
Andaman & Nicobar Islands,1926,SEP,719.3
Andaman & Nicobar Islands,1926,OCT,443.8
Andaman & Nicobar Islands,1926,NOV,148.4
Andaman & Nicobar Islands,1926,DEC,560.7
Andaman & Nicobar Islands,1927,JAN,3.0
Andaman & Nicobar Islands,1927,FEB,17.5
Andaman & Nicobar Islands,1927,MAR,17.8
Andaman & Nicobar Islands,1927,APR,108.6
Andaman & Nicobar Islands,1927,MAY,504.1
Andaman & Nicobar Islands,1927,JUN,433.3
Andaman & Nicobar Islands,1927,JUL,195.2
Andaman & Nicobar Islands,1927,AUG,370.1
Andaman & Nicobar Islands,1927,SEP,126.2
Andaman & Nicobar Islands,1927,OCT,327.5
Andaman & Nicobar Islands,1927,NOV,274.1
Andaman & Nicobar Islands,1927,DEC,65.5
Andaman & Nicobar Islands,1928,JAN,50.9
Andaman & Nicobar Islands,1928,FEB,67.6
Andaman & Nicobar Islands,1928,MAR,80.7
Andaman & Nicobar Islands,1928,APR,129.3
Andaman & Nicobar Islands,1928,MAY,499.5
Andaman & Nicobar Islands,1928,JUN,410.2
Andaman & Nicobar Islands,1928,JUL,406.3
Andaman & Nicobar Islands,1928,AUG,391.5
Andaman & Nicobar Islands,1928,SEP,404.8
Andaman & Nicobar Islands,1928,OCT,444.5
Andaman & Nicobar Islands,1928,NOV,99.5
Andaman & Nicobar Islands,1928,DEC,13.5
Andaman & Nicobar Islands,1929,JAN,74.2
Andaman & Nicobar Islands,1929,FEB,118.4
Andaman & Nicobar Islands,1929,MAR,129.2
Andaman & Nicobar Islands,1929,APR,69.8
Andaman & Nicobar Islands,1929,MAY,316.6
Andaman & Nicobar Islands,1929,JUN,588.8
Andaman & Nicobar Islands,1929,JUL,134.0
Andaman & Nicobar Islands,1929,AUG,644.7
Andaman & Nicobar Islands,1929,SEP,172.9
Andaman & Nicobar Islands,1929,OCT,413.0
Andaman & Nicobar Islands,1929,NOV,251.5
Andaman & Nicobar Islands,1929,DEC,13.5
Andaman & Nicobar Islands,1930,JAN,87.4
Andaman & Nicobar Islands,1930,FEB,105.4
Andaman & Nicobar Islands,1930,MAR,131.2
Andaman & Nicobar Islands,1930,APR,10.9
Andaman & Nicobar Islands,1930,MAY,231.5
Andaman & Nicobar Islands,1930,JUN,533.6
Andaman & Nicobar Islands,1930,JUL,317.9
Andaman & Nicobar Islands,1930,AUG,446.7
Andaman & Nicobar Islands,1930,SEP,677.2
Andaman & Nicobar Islands,1930,OCT,82.3
Andaman & Nicobar Islands,1930,NOV,249.4
Andaman & Nicobar Islands,1930,DEC,201.6
Andaman & Nicobar Islands,1931,JAN,25.3
Andaman & Nicobar Islands,1931,FEB,0.0
Andaman & Nicobar Islands,1931,MAR,2.5
Andaman & Nicobar Islands,1931,APR,2.5
Andaman & Nicobar Islands,1931,MAY,205.4
Andaman & Nicobar Islands,1931,JUN,393.5
Andaman & Nicobar Islands,1931,JUL,289.3
Andaman & Nicobar Islands,1931,AUG,571.0
Andaman & Nicobar Islands,1931,SEP,294.4
Andaman & Nicobar Islands,1931,OCT,368.3
Andaman & Nicobar Islands,1931,NOV,22.8
Andaman & Nicobar Islands,1931,DEC,182.7
Andaman & Nicobar Islands,1932,JAN,2.8
Andaman & Nicobar Islands,1932,FEB,2.5
Andaman & Nicobar Islands,1932,MAR,10.1
Andaman & Nicobar Islands,1932,APR,58.2
Andaman & Nicobar Islands,1932,MAY,479.7
Andaman & Nicobar Islands,1932,JUN,
Andaman & Nicobar Islands,1932,JUL,
Andaman & Nicobar Islands,1932,AUG,
Andaman & Nicobar Islands,1932,SEP,
Andaman & Nicobar Islands,1932,OCT,
Andaman & Nicobar Islands,1932,NOV,
Andaman & Nicobar Islands,1932,DEC,
Andaman & Nicobar Islands,1933,JAN,4.5
Andaman & Nicobar Islands,1933,FEB,11.7
Andaman & Nicobar Islands,1933,MAR,8.1
Andaman & Nicobar Islands,1933,APR,58.4
Andaman & Nicobar Islands,1933,MAY,365.4
Andaman & Nicobar Islands,1933,JUN,544.2
Andaman & Nicobar Islands,1933,JUL,376.6
Andaman & Nicobar Islands,1933,AUG,294.1
Andaman & Nicobar Islands,1933,SEP,759.0
Andaman & Nicobar Islands,1933,OCT,239.8
Andaman & Nicobar Islands,1933,NOV,268.8
Andaman & Nicobar Islands,1933,DEC,56.9
Andaman & Nicobar Islands,1934,JAN,7.3
Andaman & Nicobar Islands,1934,FEB,172.9
Andaman & Nicobar Islands,1934,MAR,6.9
Andaman & Nicobar Islands,1934,APR,131.4
Andaman & Nicobar Islands,1934,MAY,62.0
Andaman & Nicobar Islands,1934,JUN,708.4
Andaman & Nicobar Islands,1934,JUL,323.5
Andaman & Nicobar Islands,1934,AUG,924.9
Andaman & Nicobar Islands,1934,SEP,761.1
Andaman & Nicobar Islands,1934,OCT,338.1
Andaman & Nicobar Islands,1934,NOV,240.2
Andaman & Nicobar Islands,1934,DEC,46.1
Andaman & Nicobar Islands,1935,JAN,6.6
Andaman & Nicobar Islands,1935,FEB,0.0
Andaman & Nicobar Islands,1935,MAR,0.5
Andaman & Nicobar Islands,1935,APR,133.6
Andaman & Nicobar Islands,1935,MAY,726.8
Andaman & Nicobar Islands,1935,JUN,374.1
Andaman & Nicobar Islands,1935,JUL,368.7
Andaman & Nicobar Islands,1935,AUG,411.6
Andaman & Nicobar Islands,1935,SEP,578.9
Andaman & Nicobar Islands,1935,OCT,182.4
Andaman & Nicobar Islands,1935,NOV,275.4
Andaman & Nicobar Islands,1935,DEC,95.4
Andaman & Nicobar Islands,1936,JAN,16.5
Andaman & Nicobar Islands,1936,FEB,15.3
Andaman & Nicobar Islands,1936,MAR,116.5
Andaman & Nicobar Islands,1936,APR,
Andaman & Nicobar Islands,1936,MAY,194.3
Andaman & Nicobar Islands,1936,JUN,498.3
Andaman & Nicobar Islands,1936,JUL,664.8
Andaman & Nicobar Islands,1936,AUG,562.9
Andaman & Nicobar Islands,1936,SEP,383.8
Andaman & Nicobar Islands,1936,OCT,174.9
Andaman & Nicobar Islands,1936,NOV,199.2
Andaman & Nicobar Islands,1936,DEC,212.2
Andaman & Nicobar Islands,1937,JAN,21.6
Andaman & Nicobar Islands,1937,FEB,10.7
Andaman & Nicobar Islands,1937,MAR,0.0
Andaman & Nicobar Islands,1937,APR,112.0
Andaman & Nicobar Islands,1937,MAY,330.5
Andaman & Nicobar Islands,1937,JUN,732.8
Andaman & Nicobar Islands,1937,JUL,449.5
Andaman & Nicobar Islands,1937,AUG,332.0
Andaman & Nicobar Islands,1937,SEP,349.5
Andaman & Nicobar Islands,1937,OCT,383.3
Andaman & Nicobar Islands,1937,NOV,251.7
Andaman & Nicobar Islands,1937,DEC,617.5
Andaman & Nicobar Islands,1938,JAN,13.4
Andaman & Nicobar Islands,1938,FEB,57.2
Andaman & Nicobar Islands,1938,MAR,50.5
Andaman & Nicobar Islands,1938,APR,101.6
Andaman & Nicobar Islands,1938,MAY,368.9
Andaman & Nicobar Islands,1938,JUN,668.6
Andaman & Nicobar Islands,1938,JUL,318.2
Andaman & Nicobar Islands,1938,AUG,397.1
Andaman & Nicobar Islands,1938,SEP,546.7
Andaman & Nicobar Islands,1938,OCT,318.4
Andaman & Nicobar Islands,1938,NOV,316.3
Andaman & Nicobar Islands,1938,DEC,107.5
Andaman & Nicobar Islands,1939,JAN,54.1
Andaman & Nicobar Islands,1939,FEB,1.5
Andaman & Nicobar Islands,1939,MAR,16.1
Andaman & Nicobar Islands,1939,APR,77.3
Andaman & Nicobar Islands,1939,MAY,480.5
Andaman & Nicobar Islands,1939,JUN,541.0
Andaman & Nicobar Islands,1939,JUL,335.6
Andaman & Nicobar Islands,1939,AUG,202.8
Andaman & Nicobar Islands,1939,SEP,512.5
Andaman & Nicobar Islands,1939,OCT,263.9
Andaman & Nicobar Islands,1939,NOV,165.9
Andaman & Nicobar Islands,1939,DEC,131.3
Andaman & Nicobar Islands,1940,JAN,0.5
Andaman & Nicobar Islands,1940,FEB,2.8
Andaman & Nicobar Islands,1940,MAR,59.4
Andaman & Nicobar Islands,1940,APR,0.0
Andaman & Nicobar Islands,1940,MAY,320.7
Andaman & Nicobar Islands,1940,JUN,335.4
Andaman & Nicobar Islands,1940,JUL,268.1
Andaman & Nicobar Islands,1940,AUG,889.2
Andaman & Nicobar Islands,1940,SEP,477.5
Andaman & Nicobar Islands,1940,OCT,114.1
Andaman & Nicobar Islands,1940,NOV,221.0
Andaman & Nicobar Islands,1940,DEC,318.8
Andaman & Nicobar Islands,1941,JAN,0.0
Andaman & Nicobar Islands,1941,FEB,12.8
Andaman & Nicobar Islands,1941,MAR,0.0
Andaman & Nicobar Islands,1941,APR,77.8
Andaman & Nicobar Islands,1941,MAY,251.9
Andaman & Nicobar Islands,1941,JUN,497.0
Andaman & Nicobar Islands,1941,JUL,302.5
Andaman & Nicobar Islands,1941,AUG,311.9
Andaman & Nicobar Islands,1941,SEP,516.0
Andaman & Nicobar Islands,1941,OCT,382.8
Andaman & Nicobar Islands,1941,NOV,266.0
Andaman & Nicobar Islands,1941,DEC,279.5
Andaman & Nicobar Islands,1942,JAN,39.2
Andaman & Nicobar Islands,1942,FEB,7.4
Andaman & Nicobar Islands,1942,MAR,
Andaman & Nicobar Islands,1942,APR,
Andaman & Nicobar Islands,1942,MAY,
Andaman & Nicobar Islands,1942,JUN,
Andaman & Nicobar Islands,1942,JUL,
Andaman & Nicobar Islands,1942,AUG,
Andaman & Nicobar Islands,1942,SEP,
Andaman & Nicobar Islands,1942,OCT,
Andaman & Nicobar Islands,1942,NOV,
Andaman & Nicobar Islands,1942,DEC,
Andaman & Nicobar Islands,1946,JAN,84.4
Andaman & Nicobar Islands,1946,FEB,3.6
Andaman & Nicobar Islands,1946,MAR,21.1
Andaman & Nicobar Islands,1946,APR,135.2
Andaman & Nicobar Islands,1946,MAY,309.1
Andaman & Nicobar Islands,1946,JUN,535.9
Andaman & Nicobar Islands,1946,JUL,189.0
Andaman & Nicobar Islands,1946,AUG,367.4
Andaman & Nicobar Islands,1946,SEP,478.3
Andaman & Nicobar Islands,1946,OCT,276.9
Andaman & Nicobar Islands,1946,NOV,146.9
Andaman & Nicobar Islands,1946,DEC,243.8
Andaman & Nicobar Islands,1947,JAN,25.1
Andaman & Nicobar Islands,1947,FEB,111.1
Andaman & Nicobar Islands,1947,MAR,63.2
Andaman & Nicobar Islands,1947,APR,127.7
Andaman & Nicobar Islands,1947,MAY,206.3
Andaman & Nicobar Islands,1947,JUN,965.6
Andaman & Nicobar Islands,1947,JUL,490.0
Andaman & Nicobar Islands,1947,AUG,293.7
Andaman & Nicobar Islands,1947,SEP,
Andaman & Nicobar Islands,1947,OCT,376.0
Andaman & Nicobar Islands,1947,NOV,67.5
Andaman & Nicobar Islands,1947,DEC,168.6
Andaman & Nicobar Islands,1949,JAN,0.0
Andaman & Nicobar Islands,1949,FEB,56.4
Andaman & Nicobar Islands,1949,MAR,0.0
Andaman & Nicobar Islands,1949,APR,166.5
Andaman & Nicobar Islands,1949,MAY,405.8
Andaman & Nicobar Islands,1949,JUN,658.4
Andaman & Nicobar Islands,1949,JUL,743.3
Andaman & Nicobar Islands,1949,AUG,404.0
Andaman & Nicobar Islands,1949,SEP,627.5
Andaman & Nicobar Islands,1949,OCT,339.6
Andaman & Nicobar Islands,1949,NOV,81.1
Andaman & Nicobar Islands,1949,DEC,7.0
Andaman & Nicobar Islands,1950,JAN,0.8
Andaman & Nicobar Islands,1950,FEB,0.0
Andaman & Nicobar Islands,1950,MAR,0.0
Andaman & Nicobar Islands,1950,APR,95.5
Andaman & Nicobar Islands,1950,MAY,264.2
Andaman & Nicobar Islands,1950,JUN,369.9
Andaman & Nicobar Islands,1950,JUL,366.7
Andaman & Nicobar Islands,1950,AUG,347.3
Andaman & Nicobar Islands,1950,SEP,494.5
Andaman & Nicobar Islands,1950,OCT,224.6
Andaman & Nicobar Islands,1950,NOV,89.3
Andaman & Nicobar Islands,1950,DEC,169.4
Andaman & Nicobar Islands,1951,JAN,82.7
Andaman & Nicobar Islands,1951,FEB,7.2
Andaman & Nicobar Islands,1951,MAR,0.0
Andaman & Nicobar Islands,1951,APR,45.4
Andaman & Nicobar Islands,1951,MAY,259.0
Andaman & Nicobar Islands,1951,JUN,619.9
Andaman & Nicobar Islands,1951,JUL,665.3
Andaman & Nicobar Islands,1951,AUG,101.3
Andaman & Nicobar Islands,1951,SEP,360.9
Andaman & Nicobar Islands,1951,OCT,489.0
Andaman & Nicobar Islands,1951,NOV,209.6
Andaman & Nicobar Islands,1951,DEC,434.8
Andaman & Nicobar Islands,1952,JAN,0.0
Andaman & Nicobar Islands,1952,FEB,0.8
Andaman & Nicobar Islands,1952,MAR,69.7
Andaman & Nicobar Islands,1952,APR,39.4
Andaman & Nicobar Islands,1952,MAY,452.9
Andaman & Nicobar Islands,1952,JUN,657.7
Andaman & Nicobar Islands,1952,JUL,385.5
Andaman & Nicobar Islands,1952,AUG,541.3
Andaman & Nicobar Islands,1952,SEP,240.3
Andaman & Nicobar Islands,1952,OCT,315.6
Andaman & Nicobar Islands,1952,NOV,287.5
