subdivision,year,month,date,rainfall_mm,rainfall_zscore,rainfall_condition,is_dry,dry_episode_length,persistent_drought_signal,environmental_risk_score,environmental_risk_level
Andaman & Nicobar Islands,1902,APR,1902-04-01,0.0,-1.093712841342347,DRY,1,1,0,32.34282103355867,MODERATE
Andaman & Nicobar Islands,1902,MAY,1902-05-01,446.1,0.6104259353380778,NORMAL_OR_WET,0,0,0,0.0,LOW
Andaman & Nicobar Islands,1902,JUN,1902-06-01,537.1,0.4572562572743849,NORMAL_OR_WET,0,0,0,0.0,LOW
Andaman & Nicobar Islands,1902,JUL,1902-07-01,228.9,-1.137232957477091,DRY,1,1,0,33.430823936927275,MODERATE
Andaman & Nicobar Islands,1902,AUG,1902-08-01,753.7,2.54469606239196,NORMAL_OR_WET,0,0,0,0.0,LOW
Andaman & Nicobar Islands,1902,SEP,1902-09-01,666.2,1.48246822315523,NORMAL_OR_WET,0,0,0,0.0,LOW
Andaman & Nicobar Islands,1902,OCT,1902-10-01,197.2,-0.940184748796575,BELOW_NORMAL,0,0,0,23.504618719914376,MODERATE
Andaman & Nicobar Islands,1902,NOV,1902-11-01,359.0,1.0796596453155562,NORMAL_OR_WET,0,0,0,0.0,LOW
Andaman & Nicobar Islands,1902,DEC,1902-12-01,160.5,0.023114335968376,NORMAL_OR_WET,0,0,0,0.0,LOW
Andaman & Nicobar Islands,1903,JAN,1903-01-01,12.7,-0.5591780059038156,BELOW_NORMAL,0,0,0,13.97945014759539,LOW
Andaman & Nicobar Islands,1903,FEB,1903-02-01,144.0,3.050856840559605,NORMAL_OR_WET,0,0,0,0.0,LOW
Andaman & Nicobar Islands,1903,MAR,1903-03-01,0.0,-0.6527278243832318,BELOW_NORMAL,0,0,0,16.318195609580798,LOW
Andaman & Nicobar Islands,1903,APR,1903-04-01,1.0,-1.0785047192121378,DRY,1,1,0,31.962617980303445,MODERATE
Andaman & Nicobar Islands,1903,MAY,1903-05-01,235.1,-0.8007660330315909,BELOW_NORMAL,0,0,0,20.019150825789772,MODERATE
Andaman & Nicobar Islands,1903,JUN,1903-06-01,479.9,0.0669775776072167,NORMAL_OR_WET,0,0,0,0.0,LOW
Andaman & Nicobar Islands,1903,JUL,1903-07-01,728.4,2.201332822359563,NORMAL_OR_WET,0,0,0,0.0,LOW
Andaman & Nicobar Islands,1903,AUG,1903-08-01,326.7,-0.5153629258324249,BELOW_NORMAL,0,0,0,12.884073145810623,LOW
Andaman & Nicobar Islands,1903,SEP,1903-09-01,339.0,-0.6655661427239462,BELOW_NORMAL,0,0,0,16.639153568098656,LOW
Andaman & Nicobar Islands,1903,OCT,1903-10-01,181.2,-1.1023046255338451,DRY,1,1,0,32.55761563834613,MODERATE
Andaman & Nicobar Islands,1903,NOV,1903-11-01,284.4,0.4403403316007735,NORMAL_OR_WET,0,0,0,0.0,LOW
Andaman & Nicobar Islands,1903,DEC,1903-12-01,225.0,0.5146610359855244,NORMAL_OR_WET,0,0,0,0.0,LOW
Andaman & Nicobar Islands,1904,JAN,1904-01-01,9.4,-0.6034484606596313,BELOW_NORMAL,0,0,0,15.086211516490783,LOW
Andaman & Nicobar Islands,1904,FEB,1904-02-01,14.7,-0.3406078197087547,BELOW_NORMAL,0,0,0,8.515195492718867,LOW
Andaman & Nicobar Islands,1904,MAR,1904-03-01,0.0,-0.6527278243832318,BELOW_NORMAL,0,0,0,16.318195609580798,LOW
Andaman & Nicobar Islands,1904,APR,1904-04-01,202.4,1.9844110778119752,NORMAL_OR_WET,0,0,0,0.0,LOW
Andaman & Nicobar Islands,1904,MAY,1904-05-01,304.5,-0.3366109495962592,BELOW_NORMAL,0,0,0,8.41527373990648,LOW
Andaman & Nicobar Islands,1904,JUN,1904-06-01,495.1,0.1706879959803106,NORMAL_OR_WET,0,0,0,0.0,LOW
Andaman & Nicobar Islands,1904,JUL,1904-07-01,502.0,0.6881170214486151,NORMAL_OR_WET,0,0,0,0.0,LOW
Andaman & Nicobar Islands,1904,AUG,1904-08-01,160.1,-1.709287580254398,SEVERE_DRY,1,1,0,47.73218950635995,ELEVATED
Andaman & Nicobar Islands,1904,SEP,1904-09-01,820.4,2.494775372356235,NORMAL_OR_WET,0,0,0,0.0,LOW
Andaman & Nicobar Islands,1904,OCT,1904-10-01,222.2,-0.68687244139459,BELOW_NORMAL,0,0,0,17.17181103486475,LOW
Andaman & Nicobar Islands,1904,NOV,1904-11-01,308.7,0.6485904565775727,NORMAL_OR_WET,0,0,0,0.0,LOW
Andaman & Nicobar Islands,1904,DEC,1904-12-01,40.1,-0.8944395040636341,BELOW_NORMAL,0,0,0,22.360987601590853,MODERATE
Andaman & Nicobar Islands,1905,JAN,1905-01-01,1.3,-0.7121123041511791,BELOW_NORMAL,0,0,0,17.802807603779478,LOW
Andaman & Nicobar Islands,1905,FEB,1905-02-01,0.0,-0.7261803680919325,BELOW_NORMAL,0,0,0,18.154509202298314,LOW
Andaman & Nicobar Islands,1905,MAR,1905-03-01,3.3,-0.5845514417363097,BELOW_NORMAL,0,0,0,14.613786043407742,LOW
Andaman & Nicobar Islands,1905,APR,1905-04-01,26.9,-0.6846143560397221,BELOW_NORMAL,0,0,0,17.11535890099305,LOW
Andaman & Nicobar Islands,1905,MAY,1905-05-01,279.5,-0.5038137894504853,BELOW_NORMAL,0,0,0,12.595344736262131,LOW
Andaman & Nicobar Islands,1905,JUN,1905-06-01,628.7,1.0822479890490804,NORMAL_OR_WET,0,0,0,0.0,LOW
Andaman & Nicobar Islands,1905,JUL,1905-07-01,368.7,-0.2028355680453309,BELOW_NORMAL,0,0,0,5.070889201133273,LOW
Andaman & Nicobar Islands,1905,AUG,1905-08-01,330.5,-0.4881305507615755,BELOW_NORMAL,0,0,0,12.203263769039388,LOW
Andaman & Nicobar Islands,1905,SEP,1905-09-01,297.0,-0.9412918253856988,BELOW_NORMAL,0,0,0,23.53229563464247,MODERATE
Andaman & Nicobar Islands,1905,OCT,1905-10-01,260.7,-0.296771487995533,BELOW_NORMAL,0,0,0,7.419287199888325,LOW
Andaman & Nicobar Islands,1905,NOV,1905-11-01,25.4,-1.7792803420202536,SEVERE_DRY,1,1,0,49.48200855050634,ELEVATED
Andaman & Nicobar Islands,1905,DEC,1905-12-01,344.7,1.4268802606685111,NORMAL_OR_WET,0,0,0,0.0,LOW
Andaman & Nicobar Islands,1906,JAN,1906-01-01,36.6,-0.23855259115715,BELOW_NORMAL,0,0,0,5.96381477892875,LOW
Andaman & Nicobar Islands,1906,FEB,1906-02-01,0.0,-0.7261803680919325,BELOW_NORMAL,0,0,0,18.154509202298314,LOW
Andaman & Nicobar Islands,1906,MAR,1906-03-01,0.0,-0.6527278243832318,BELOW_NORMAL,0,0,0,16.318195609580798,LOW
Andaman & Nicobar Islands,1906,APR,1906-04-01,0.0,-1.093712841342347,DRY,1,1,0,32.34282103355867,MODERATE
Andaman & Nicobar Islands,1906,MAY,1906-05-01,556.1,1.3461184306966727,NORMAL_OR_WET,0,0,0,0.0,LOW
Andaman & Nicobar Islands,1906,JUN,1906-06-01,733.3,1.7959394207481316,NORMAL_OR_WET,0,0,0,0.0,LOW
Andaman & Nicobar Islands,1906,JUL,1906-07-01,247.7,-1.011577228426182,DRY,1,1,0,30.28943071065455,MODERATE
Andaman & Nicobar Islands,1906,AUG,1906-08-01,320.5,-0.5597946956848633,BELOW_NORMAL,0,0,0,13.994867392121582,LOW
Andaman & Nicobar Islands,1906,SEP,1906-09-01,164.3,-1.8124536846527115,SEVERE_DRY,1,1,0,50.31134211631779,ELEVATED
Andaman & Nicobar Islands,1906,OCT,1906-10-01,267.8,-0.224830792693369,BELOW_NORMAL,0,0,0,5.620769817334225,LOW
Andaman & Nicobar Islands,1906,NOV,1906-11-01,128.9,-0.8922890689709242,BELOW_NORMAL,0,0,0,22.307226724273104,MODERATE
Andaman & Nicobar Islands,1906,DEC,1906-12-01,79.2,-0.5964631324253318,BELOW_NORMAL,0,0,0,14.911578310633294,LOW
Andaman & Nicobar Islands,1907,JAN,1907-01-01,110.7,0.7555203474507127,NORMAL_OR_WET,0,0,0,0.0,LOW
Andaman & Nicobar Islands,1907,FEB,1907-02-01,0.0,-0.7261803680919325,BELOW_NORMAL,0,0,0,18.154509202298314,LOW
Andaman & Nicobar Islands,1907,MAR,1907-03-01,113.3,1.687994646494428,NORMAL_OR_WET,0,0,0,0.0,LOW
Andaman & Nicobar Islands,1907,APR,1907-04-01,21.6,-0.7652174033298302,BELOW_NORMAL,0,0,0,19.130435083245757,LOW
Andaman & Nicobar Islands,1907,MAY,1907-05-01,616.3,1.7487428690656488,NORMAL_OR_WET,0,0,0,0.0,LOW
Andaman & Nicobar Islands,1907,JUN,1907-06-01,305.2,-1.1250099282993256,DRY,1,1,0,33.12524820748314,MODERATE
Andaman & Nicobar Islands,1907,JUL,1907-07-01,443.9,0.2997873481583054,NORMAL_OR_WET,0,0,0,0.0,LOW
Andaman & Nicobar Islands,1907,AUG,1907-08-01,377.6,-0.1505924281728903,BELOW_NORMAL,0,0,0,3.764810704322258,LOW
Andaman & Nicobar Islands,1907,SEP,1907-09-01,200.4,-1.5754608955077292,SEVERE_DRY,1,1,0,44.386522387693226,ELEVATED
Andaman & Nicobar Islands,1907,OCT,1907-10-01,264.4,-0.2592812665000394,BELOW_NORMAL,0,0,0,6.482031662500985,LOW
Andaman & Nicobar Islands,1907,NOV,1907-11-01,648.9,3.56409220625276,NORMAL_OR_WET,0,0,0,0.0,LOW
Andaman & Nicobar Islands,1907,DEC,1907-12-01,245.6,0.6716511448282104,NORMAL_OR_WET,0,0,0,0.0,LOW
Andaman & Nicobar Islands,1908,JAN,1908-01-01,20.9,-0.4491726334802735,BELOW_NORMAL,0,0,0,11.229315837006837,LOW
Andaman & Nicobar Islands,1908,FEB,1908-02-01,85.1,1.5059437045208857,NORMAL_OR_WET,0,0,0,0.0,LOW
Andaman & Nicobar Islands,1908,MAR,1908-03-01,0.0,-0.6527278243832318,BELOW_NORMAL,0,0,0,16.318195609580798,LOW
Andaman & Nicobar Islands,1908,APR,1908-04-01,29.0,-0.652677299566283,BELOW_NORMAL,0,0,0,16.316932489157075,LOW
Andaman & Nicobar Islands,1908,MAY,1908-05-01,562.0,1.38557830090227,NORMAL_OR_WET,0,0,0,0.0,LOW
Andaman & Nicobar Islands,1908,JUN,1908-06-01,693.6,1.5250641832868286,NORMAL_OR_WET,0,0,0,0.0,LOW
Andaman & Nicobar Islands,1908,JUL,1908-07-01,481.4,0.5504304247226188,NORMAL_OR_WET,0,0,0,0.0,LOW
Andaman & Nicobar Islands,1908,AUG,1908-08-01,699.9,2.159142962704672,NORMAL_OR_WET,0,0,0,0.0,LOW
Andaman & Nicobar Islands,1908,SEP,1908-09-01,428.8,-0.0760383736042945,BELOW_NORMAL,0,0,0,1.9009593401073623,LOW
Andaman & Nicobar Islands,1908,OCT,1908-10-01,170.7,-1.208695794642679,DRY,1,1,0,35.217394866066975,MODERATE
Andaman & Nicobar Islands,1908,NOV,1908-11-01,208.1,-0.2135479208983938,BELOW_NORMAL,0,0,0,5.3386980224598455,LOW
Andaman & Nicobar Islands,1908,DEC,1908-12-01,196.9,0.3005143341175885,NORMAL_OR_WET,0,0,0,0.0,LOW
Andaman & Nicobar Islands,1910,JAN,1910-01-01,26.6,-0.3727054843565917,BELOW_NORMAL,0,0,0,9.317637108914791,LOW
Andaman & Nicobar Islands,1910,FEB,1910-02-01,22.7,-0.1307724192281137,BELOW_NORMAL,0,0,0,3.2693104807028424,LOW
Andaman & Nicobar Islands,1910,MAR,1910-03-01,206.3,3.609329066544052,NORMAL_OR_WET,0,0,0,0.0,LOW
Andaman & Nicobar Islands,1910,APR,1910-04-01,89.3,0.2643724648853257,NORMAL_OR_WET,0,0,0,0.0,LOW
Andaman & Nicobar Islands,1910,MAY,1910-05-01,224.5,-0.8716600371297828,BELOW_NORMAL,0,0,0,21.79150092824457,MODERATE
Andaman & Nicobar Islands,1910,JUN,1910-06-01,472.7,0.017851589956804,NORMAL_OR_WET,0,0,0,0.0,LOW
Andaman & Nicobar Islands,1910,JUL,1910-07-01,264.3,-0.9006258932003792,BELOW_NORMAL,0,0,0,22.51564733000948,MODERATE
Andaman & Nicobar Islands,1910,AUG,1910-08-01,337.4,-0.4386822907645072,BELOW_NORMAL,0,0,0,10.967057269112681,LOW
Andaman & Nicobar Islands,1910,SEP,1910-09-01,626.6,1.2224982937884348,NORMAL_OR_WET,0,0,0,0.0,LOW
Andaman & Nicobar Islands,1910,OCT,1910-10-01,208.2,-0.8287273335397016,BELOW_NORMAL,0,0,0,20.71818333849254,MODERATE
Andaman & Nicobar Islands,1910,NOV,1910-11-01,267.3,0.2937939473578411,NORMAL_OR_WET,0,0,0,0.0,LOW
Andaman & Nicobar Islands,1910,DEC,1910-12-01,153.5,-0.030231817521857,BELOW_NORMAL,0,0,0,0.755795438046425,LOW
Andaman & Nicobar Islands,1911,JAN,1911-01-01,0.0,-0.7295521802671066,BELOW_NORMAL,0,0,0,18.238804506677663,LOW
Andaman & Nicobar Islands,1911,FEB,1911-02-01,8.4,-0.5058531975872594,BELOW_NORMAL,0,0,0,12.646329939681486,LOW
Andaman & Nicobar Islands,1911,MAR,1911-03-01,0.0,-0.6527278243832318,BELOW_NORMAL,0,0,0,16.318195609580798,LOW
Andaman & Nicobar Islands,1911,APR,1911-04-01,122.5,0.7692821196082679,NORMAL_OR_WET,0,0,0,0.0,LOW
Andaman & Nicobar Islands,1911,MAY,1911-05-01,327.3,-0.1841219596492048,BELOW_NORMAL,0,0,0,4.6030489912301205,LOW
Andaman & Nicobar Islands,1911,JUN,1911-06-01,649.0,1.2207559820078828,NORMAL_OR_WET,0,0,0,0.0,LOW
Andaman & Nicobar Islands,1911,JUL,1911-07-01,253.0,-0.9761530069384255,BELOW_NORMAL,0,0,0,24.40382517346064,MODERATE
Andaman & Nicobar Islands,1911,AUG,1911-08-01,187.1,-1.515794388961521,SEVERE_DRY,1,1,0,42.89485972403803,ELEVATED
Andaman & Nicobar Islands,1911,SEP,1911-09-01,464.5,0.1583284566581949,NORMAL_OR_WET,0,0,0,0.0,LOW
Andaman & Nicobar Islands,1911,OCT,1911-10-01,333.8,0.4439136988478713,NORMAL_OR_WET,0,0,0,0.0,LOW
Andaman & Nicobar Islands,1911,NOV,1911-11-01,94.5,-1.1870958302549526,DRY,1,1,0,34.67739575637381,MODERATE
Andaman & Nicobar Islands,1911,DEC,1911-12-01,247.1,0.6830824634332604,NORMAL_OR_WET,0,0,0,0.0,LOW
Andaman & Nicobar Islands,1912,JAN,1912-01-01,583.7,7.100952195784304,NORMAL_OR_WET,0,0,0,0.0,LOW
Andaman & Nicobar Islands,1912,FEB,1912-02-01,0.8,-0.7051968280438684,BELOW_NORMAL,0,0,0,17.62992070109671,LOW
Andaman & Nicobar Islands,1912,MAR,1912-03-01,0.0,-0.6527278243832318,BELOW_NORMAL,0,0,0,16.318195609580798,LOW
Andaman & Nicobar Islands,1912,APR,1912-04-01,21.9,-0.7606549666907676,BELOW_NORMAL,0,0,0,19.01637416726919,LOW
Andaman & Nicobar Islands,1912,MAY,1912-05-01,140.7,-1.4321239563211487,DRY,1,1,0,40.803098908028716,ELEVATED
Andaman & Nicobar Islands,1912,JUN,1912-06-01,549.8,0.5439090410466403,NORMAL_OR_WET,0,0,0,0.0,LOW
Andaman & Nicobar Islands,1912,JUL,1912-07-01,468.9,0.4668827325345143,NORMAL_OR_WET,0,0,0,0.0,LOW
Andaman & Nicobar Islands,1912,AUG,1912-08-01,370.3,-0.2029072539668904,BELOW_NORMAL,0,0,0,5.07268134917226,LOW
Andaman & Nicobar Islands,1912,SEP,1912-09-01,386.2,-0.3557029945897864,BELOW_NORMAL,0,0,0,8.89257486474466,LOW
Andaman & Nicobar Islands,1912,OCT,1912-10-01,318.7,0.2909130651770721,NORMAL_OR_WET,0,0,0,0.0,LOW
Andaman & Nicobar Islands,1912,NOV,1912-11-01,117.2,-0.9925576476634572,BELOW_NORMAL,0,0,0,24.81394119158643,MODERATE
Andaman & Nicobar Islands,1912,DEC,1912-12-01,2.3,-1.182508732910893,DRY,1,1,0,34.56271832277233,MODERATE
Andaman & Nicobar Islands,1913,JAN,1913-01-01,84.8,0.4080643540641587,NORMAL_OR_WET,0,0,0,0.0,LOW
Andaman & Nicobar Islands,1913,FEB,1913-02-01,0.5,-0.7130656555618924,BELOW_NORMAL,0,0,0,17.82664138904731,LOW
Andaman & Nicobar Islands,1913,MAR,1913-03-01,1.3,-0.6258704615223231,BELOW_NORMAL,0,0,0,15.646761538058076,LOW
Andaman & Nicobar Islands,1913,APR,1913-04-01,2.5,-1.055692536016824,DRY,1,2,0,36.3923134004206,MODERATE
Andaman & Nicobar Islands,1913,MAY,1913-05-01,190.7,-1.0977182766126965,DRY,1,2,0,37.44295691531741,MODERATE
Andaman & Nicobar Islands,1913,JUN,1913-06-01,530.0,0.4088125750080055,NORMAL_OR_WET,0,0,0,0.0,LOW
Andaman & Nicobar Islands,1913,JUL,1913-07-01,280.8,-0.7903429395120813,BELOW_NORMAL,0,0,0,19.758573487802032,LOW
Andaman & Nicobar Islands,1913,AUG,1913-08-01,205.8,-1.381782437954973,DRY,1,1,0,39.54456094887433,MODERATE
Andaman & Nicobar Islands,1913,SEP,1913-09-01,580.1,0.9172305736986376,NORMAL_OR_WET,0,0,0,0.0,LOW
Andaman & Nicobar Islands,1913,OCT,1913-10-01,288.8,-0.0120484544757016,BELOW_NORMAL,0,0,0,0.30121136189254,LOW
Andaman & Nicobar Islands,1913,NOV,1913-11-01,133.0,-0.8571522166085837,BELOW_NORMAL,0,0,0,21.42880541521459,MODERATE
Andaman & Nicobar Islands,1913,DEC,1913-12-01,67.5,-0.6856274175447215,BELOW_NORMAL,0,0,0,17.140685438618036,LOW
Andaman & Nicobar Islands,1914,JAN,1914-01-01,0.0,-0.7295521802671066,BELOW_NORMAL,0,0,0,18.238804506677663,LOW
Andaman & Nicobar Islands,1914,FEB,1914-02-01,0.0,-0.7261803680919325,BELOW_NORMAL,0,0,0,18.154509202298314,LOW
Andaman & Nicobar Islands,1914,MAR,1914-03-01,0.0,-0.6527278243832318,BELOW_NORMAL,0,0,0,16.318195609580798,LOW
Andaman & Nicobar Islands,1914,APR,1914-04-01,37.7,-0.5203666370334638,BELOW_NORMAL,0,0,0,13.009165925836594,LOW
Andaman & Nicobar Islands,1914,MAY,1914-05-01,298.8,-0.3747331970830226,BELOW_NORMAL,0,0,0,9.368329927075566,LOW
Andaman & Nicobar Islands,1914,JUN,1914-06-01,383.3,-0.592129423369154,BELOW_NORMAL,0,0,0,14.80323558422885,LOW
Andaman & Nicobar Islands,1914,JUL,1914-07-01,792.8,2.631770532512677,NORMAL_OR_WET,0,0,0,0.0,LOW
Andaman & Nicobar Islands,1914,AUG,1914-08-01,520.5,0.8734882027808906,NORMAL_OR_WET,0,0,0,0.0,LOW
Andaman & Nicobar Islands,1914,SEP,1914-09-01,310.8,-0.8506962439396942,BELOW_NORMAL,0,0,0,21.267406098492355,MODERATE
Andaman & Nicobar Islands,1914,OCT,1914-10-01,139.8,-1.5217898065915323,SEVERE_DRY,1,1,0,43.04474516478831,ELEVATED
Andaman & Nicobar Islands,1914,NOV,1914-11-01,184.4,-0.416656067480704,BELOW_NORMAL,0,0,0,10.4164016870176,LOW
Andaman & Nicobar Islands,1914,DEC,1914-12-01,289.7,1.0077319118166792,NORMAL_OR_WET,0,0,0,0.0,LOW
Andaman & Nicobar Islands,1915,JAN,1915-01-01,45.0,-0.125864160869619,BELOW_NORMAL,0,0,0,3.1466040217404747,LOW
Andaman & Nicobar Islands,1915,FEB,1915-02-01,56.7,0.7610280328146104,NORMAL_OR_WET,0,0,0,0.0,LOW
Andaman & Nicobar Islands,1915,MAR,1915-03-01,33.3,0.0352338550538914,NORMAL_OR_WET,0,0,0,0.0,LOW
Andaman & Nicobar Islands,1915,APR,1915-04-01,40.9,-0.4717006462167947,BELOW_NORMAL,0,0,0,11.792516155419868,LOW
Andaman & Nicobar Islands,1915,MAY,1915-05-01,170.2,-1.234824605293162,DRY,1,1,0,35.87061513232905,MODERATE
Andaman & Nicobar Islands,1915,JUN,1915-06-01,334.7,-0.92372984000944,BELOW_NORMAL,0,0,0,23.093246000236,MODERATE
Andaman & Nicobar Islands,1915,JUL,1915-07-01,269.0,-0.869211960937652,BELOW_NORMAL,0,0,0,21.730299023441297,MODERATE
Andaman & Nicobar Islands,1915,AUG,1915-08-01,317.2,-0.5834438635095482,BELOW_NORMAL,0,0,0,14.586096587738705,LOW
Andaman & Nicobar Islands,1915,SEP,1915-09-01,429.8,-0.0694734763980623,BELOW_NORMAL,0,0,0,1.7368369099515575,LOW
Andaman & Nicobar Islands,1915,OCT,1915-10-01,468.1,1.804707414211335,NORMAL_OR_WET,0,0,0,0.0,LOW
Andaman & Nicobar Islands,1915,NOV,1915-11-01,258.4,0.2175212678395893,NORMAL_OR_WET,0,0,0,0.0,LOW
Andaman & Nicobar Islands,1915,DEC,1915-12-01,318.0,1.223402789498622,NORMAL_OR_WET,0,0,0,0.0,LOW
Andaman & Nicobar Islands,1916,JAN,1916-01-01,0.0,-0.7295521802671066,BELOW_NORMAL,0,0,0,18.238804506677663,LOW
Andaman & Nicobar Islands,1916,FEB,1916-02-01,0.0,-0.7261803680919325,BELOW_NORMAL,0,0,0,18.154509202298314,LOW
Andaman & Nicobar Islands,1916,MAR,1916-03-01,0.0,-0.6527278243832318,BELOW_NORMAL,0,0,0,16.318195609580798,LOW
Andaman & Nicobar Islands,1916,APR,1916-04-01,0.5,-1.0861087802772422,DRY,1,1,0,32.15271950693106,MODERATE
Andaman & Nicobar Islands,1916,MAY,1916-05-01,487.4,0.886645026777259,NORMAL_OR_WET,0,0,0,0.0,LOW
Andaman & Nicobar Islands,1916,JUN,1916-06-01,450.1,-0.136349426834769,BELOW_NORMAL,0,0,0,3.408735670869225,LOW
Andaman & Nicobar Islands,1916,JUL,1916-07-01,317.3,-0.5463836783228163,BELOW_NORMAL,0,0,0,13.659591958070408,LOW
Andaman & Nicobar Islands,1916,AUG,1916-08-01,425.0,0.1890956187634931,NORMAL_OR_WET,0,0,0,0.0,LOW
Andaman & Nicobar Islands,1916,SEP,1916-09-01,561.2,0.793154016500849,NORMAL_OR_WET,0,0,0,0.0,LOW
Andaman & Nicobar Islands,1916,OCT,1916-10-01,369.7,0.8076701722771217,NORMAL_OR_WET,0,0,0,0.0,LOW
Andaman & Nicobar Islands,1916,NOV,1916-11-01,192.6,-0.3463823627560229,BELOW_NORMAL,0,0,0,8.659559068900572,LOW
Andaman & Nicobar Islands,1916,DEC,1916-12-01,133.7,-0.1811252231085166,BELOW_NORMAL,0,0,0,4.528130577712915,LOW
Andaman & Nicobar Islands,1917,JAN,1917-01-01,8.0,-0.6222298657075532,BELOW_NORMAL,0,0,0,15.555746642688831,LOW
Andaman & Nicobar Islands,1917,FEB,1917-02-01,3.6,-0.631754437875644,BELOW_NORMAL,0,0,0,15.7938609468911,LOW
Andaman & Nicobar Islands,1917,MAR,1917-03-01,112.0,1.6611372836335192,NORMAL_OR_WET,0,0,0,0.0,LOW
Andaman & Nicobar Islands,1917,APR,1917-04-01,4.5,-1.025276291756406,DRY,1,1,0,30.63190729391015,MODERATE
Andaman & Nicobar Islands,1917,MAY,1917-05-01,295.9,-0.3941287265061131,BELOW_NORMAL,0,0,0,9.853218162652826,LOW
Andaman & Nicobar Islands,1917,JUN,1917-06-01,301.1,-1.1529844490446992,DRY,1,1,0,33.82461122611748,MODERATE
Andaman & Nicobar Islands,1917,JUL,1917-07-01,394.8,-0.0283879867565686,BELOW_NORMAL,0,0,0,0.709699668914215,LOW
Andaman & Nicobar Islands,1917,AUG,1917-08-01,437.4,0.2779591584683697,NORMAL_OR_WET,0,0,0,0.0,LOW
Andaman & Nicobar Islands,1917,SEP,1917-09-01,471.8,0.20625220626369,NORMAL_OR_WET,0,0,0,0.0,LOW
Andaman & Nicobar Islands,1917,OCT,1917-10-01,238.1,-0.5257658138869274,BELOW_NORMAL,0,0,0,13.144145347173186,LOW
Andaman & Nicobar Islands,1917,NOV,1917-11-01,108.3,-1.0688303271817086,DRY,1,1,0,31.720758179542713,MODERATE
Andaman & Nicobar Islands,1917,DEC,1917-12-01,236.9,0.6053494969189207,NORMAL_OR_WET,0,0,0,0.0,LOW
Andaman & Nicobar Islands,1918,JAN,1918-01-01,77.4,0.308791213096572,NORMAL_OR_WET,0,0,0,0.0,LOW
Andaman & Nicobar Islands,1918,FEB,1918-02-01,6.9,-0.5451973351773796,BELOW_NORMAL,0,0,0,13.629933379434489,LOW
Andaman & Nicobar Islands,1918,MAR,1918-03-01,11.4,-0.4172094116029553,BELOW_NORMAL,0,0,0,10.430235290073883,LOW
Andaman & Nicobar Islands,1918,APR,1918-04-01,10.7,-0.9309859345491096,BELOW_NORMAL,0,0,0,23.27464836372774,MODERATE
Andaman & Nicobar Islands,1918,MAY,1918-05-01,729.3,2.504499705206751,NORMAL_OR_WET,0,0,0,0.0,LOW
Andaman & Nicobar Islands,1918,JUN,1918-06-01,710.8,1.6424207093405918,NORMAL_OR_WET,0,0,0,0.0,LOW
Andaman & Nicobar Islands,1918,JUL,1918-07-01,200.9,-1.324379787978445,DRY,1,1,0,38.10949469946112,MODERATE
Andaman & Nicobar Islands,1918,AUG,1918-08-01,455.4,0.4069546193302875,NORMAL_OR_WET,0,0,0,0.0,LOW
